"VeeamServer","Name","FolderName","Path","Type","SizeGB","BackupName"
"pano-veeam02","Clarion Chain 1 - Job 43 - UK1-File12_vSAN_255CD2020-10-22T090037.vbk","Clarion Chain 1 - Job 43 - UK1-File12_vSAN","N$\Backups","Full Backup (Seed)","1747.03937864304","UK1-File12"
"pano-veeam02","Clarion Chain 1 - Job 43 - UK1-File12_vSAN_255CD2020-10-22T090037.vbk","Clarion Chain 1 - Job 43 - UK1-File12_vSAN","N$\Backups","Full Backup (Seed)","1747.03937864304","UK1-File12"
"pano-veeam02","Clarion Chain 1 - Job 43 - UK1-File12_vSAN_255CD2020-10-22T090037.vbk","Clarion Chain 1 - Job 43 - UK1-File12_vSAN","N$\Backups","Full Backup (Seed)","1747.03937864304","UK1-File12"
"pano-veeam02","Clarion Chain 1 - Job 43 - UK1-File12_vSAN_255CD2020-10-22T090037.vbk","Clarion Chain 1 - Job 43 - UK1-File12_vSAN","N$\Backups","Full Backup (Seed)","1747.03937864304","UK1-File12"
"pano-veeam02","Clarion Chain 1 - Job 43 - UK1-File12_vSAN_255CD2020-10-22T090037.vbk","Clarion Chain 1 - Job 43 - UK1-File12_vSAN","N$\Backups","Full Backup (Seed)","1747.03937864304","UK1-File12"
"pano-veeam02","Clarion Chain 1 - Job 43 - UK1-File12_vSAN_255CD2020-10-22T090037.vbk","Clarion Chain 1 - Job 43 - UK1-File12_vSAN","N$\Backups","Full Backup (Seed)","1747.03937864304","UK1-File12"
"pano-veeam02","Clarion Chain 1 - Job 43 - UK1-File12_vSAN_255CD2020-10-22T090037.vbk","Clarion Chain 1 - Job 43 - UK1-File12_vSAN","N$\Backups","Full Backup (Seed)","1747.03937864304","UK1-File12"
"pano-veeam02","Clarion Chain 1 - Job 43 - UK1-File12_vSAN_255CD2020-10-22T090037.vbk","Clarion Chain 1 - Job 43 - UK1-File12_vSAN","N$\Backups","Full Backup (Seed)","1747.03937864304","UK1-File12"
"pano-veeam02","Clarion Chain 1 - Job 43 - UK1-File12_vSAN_255CD2020-10-22T090037.vbk","Clarion Chain 1 - Job 43 - UK1-File12_vSAN","N$\Backups","Full Backup (Seed)","1747.03937864304","UK1-File12"
"pano-veeam02","Clarion Chain 1 - Job 43 - UK1-File12_vSAN_255CD2020-10-22T090037.vbk","Clarion Chain 1 - Job 43 - UK1-File12_vSAN","N$\Backups","Full Backup (Seed)","1747.03937864304","UK1-File12"
"pano-veeam02","Clarion Chain 1 - Job 43 - UK1-File12_vSAN_255CD2020-10-22T090037.vbk","Clarion Chain 1 - Job 43 - UK1-File12_vSAN","N$\Backups","Full Backup (Seed)","1747.03937864304","UK1-File12"
"pano-veeam02","Clarion Chain 1 - Job 43 - UK1-File12_vSAN_255CD2020-10-22T090037.vbk","Clarion Chain 1 - Job 43 - UK1-File12_vSAN","N$\Backups","Full Backup (Seed)","1747.03937864304","UK1-File12"
"pano-veeam02","Clarion Chain 1 - Job 43 - UK1-File12_vSAN_255CD2020-10-22T090037.vbk","Clarion Chain 1 - Job 43 - UK1-File12_vSAN","N$\Backups","Full Backup (Seed)","1747.03937864304","UK1-File12"
"pano-veeam02","Clarion Chain 1 - Job 43 - UK1-File12_vSAN_255CD2020-10-22T090037.vbk","Clarion Chain 1 - Job 43 - UK1-File12_vSAN","N$\Backups","Full Backup (Seed)","1747.03937864304","UK1-File12"
"pano-veeam02","Clarion Chain 1 - Job 43 - UK1-File12_vSAN_255CD2020-10-22T090037.vbk","Clarion Chain 1 - Job 43 - UK1-File12_vSAN","N$\Backups","Full Backup (Seed)","1747.03937864304","UK1-File12"
"pano-veeam02","Clarion Chain 1 - Job 43 - UK1-File12_vSAN_255CD2020-10-22T090037.vbk","Clarion Chain 1 - Job 43 - UK1-File12_vSAN","N$\Backups","Full Backup (Seed)","1747.03937864304","UK1-File12"
"pano-veeam02","Clarion Chain 1 - Job 43 - UK1-File12_vSAN_255CD2020-10-22T090037.vbk","Clarion Chain 1 - Job 43 - UK1-File12_vSAN","N$\Backups","Full Backup (Seed)","1747.03937864304","UK1-File12"
"pano-veeam02","Clarion Chain 1 - Job 43 - UK1-File12_vSAN_255CD2020-10-22T090037.vbk","Clarion Chain 1 - Job 43 - UK1-File12_vSAN","N$\Backups","Full Backup (Seed)","1747.03937864304","UK1-File12"
"pano-veeam02","Clarion Chain 1 - Job 43 - UK1-File12_vSAN_255CD2020-10-22T090037.vbk","Clarion Chain 1 - Job 43 - UK1-File12_vSAN","N$\Backups","Full Backup (Seed)","1747.03937864304","UK1-File12"
"pano-veeam02","Clarion Chain 1 - Job 43 - UK1-File12_vSAN_255CD2020-10-22T090037.vbk","Clarion Chain 1 - Job 43 - UK1-File12_vSAN","N$\Backups","Full Backup (Seed)","1747.03937864304","UK1-File12"
"pano-veeam02","Clarion Chain 1 - Job 43 - UK1-File12_vSAN_255CD2020-10-22T090037.vbk","Clarion Chain 1 - Job 43 - UK1-File12_vSAN","N$\Backups","Full Backup (Seed)","1747.03937864304","UK1-File12"
"pano-veeam02","Clarion Chain 1 - Job 43 - UK1-File12_vSAN_255CD2020-10-22T090037.vbk","Clarion Chain 1 - Job 43 - UK1-File12_vSAN","N$\Backups","Full Backup (Seed)","1747.03937864304","UK1-File12"
"pano-veeam02","Clarion Chain 1 - Job 43 - UK1-File12_vSAN_255CD2020-10-22T090037.vbk","Clarion Chain 1 - Job 43 - UK1-File12_vSAN","N$\Backups","Full Backup (Seed)","1747.03937864304","UK1-File12"
"pano-veeam02","Clarion Chain 1 - Job 43 - UK1-File12_vSAN_255CD2020-10-22T090037.vbk","Clarion Chain 1 - Job 43 - UK1-File12_vSAN","N$\Backups","Full Backup (Seed)","1747.03937864304","UK1-File12"
"pano-veeam02","Clarion Chain 1 - Job 43 - UK1-File12_vSAN_255CD2020-10-22T090037.vbk","Clarion Chain 1 - Job 43 - UK1-File12_vSAN","N$\Backups","Full Backup (Seed)","1747.03937864304","UK1-File12"
"pano-veeam02","Clarion Chain 1 - Job 43 - UK1-File12_vSAN_255CD2020-10-22T090037.vbk","Clarion Chain 1 - Job 43 - UK1-File12_vSAN","N$\Backups","Full Backup (Seed)","1747.03937864304","UK1-File12"
"pano-veeam02","Clarion Chain 1 - Job 43 - UK1-File12_vSAN_255CD2020-10-22T090037.vbk","Clarion Chain 1 - Job 43 - UK1-File12_vSAN","N$\Backups","Full Backup (Seed)","1747.03937864304","UK1-File12"
