"VeeamServer","Path","BackupType","BackupName","BackupSizeGB"
"pano-veeam02","N$\Backups","Reverse-Incredmental Backup","Claion Chain 1 - Job 01 - Domain Controlers","130.51"
"pano-veeam02","N$\Backups","Incredmental","Claion Chain 1 - Job 01 - Domain Controlers","25.29"
"pano-veeam02","N$\Backups","Reverse-Incredmental Backup","Clarion Chain 1 - Job 02 - Management","424.98"
"pano-veeam02","N$\Backups","Full Backup (Seed)","Clarion Chain 1 - Job 02 - Management","324.68"
"pano-veeam02","N$\Backups","Incredmental","Clarion Chain 1 - Job 02 - Management","56.65"
"pano-veeam02","N$\Backups","Full Backup (Seed)","Clarion Chain 1 - Job 03 - LOB","627.56"
"pano-veeam02","N$\Backups","Reverse-Incredmental Backup","Clarion Chain 1 - Job 03 - LOB","44.82"
"pano-veeam02","N$\Backups","Incredmental","Clarion Chain 1 - Job 03 - LOB","8.97"
"pano-veeam02","N$\Backups","Reverse-Incredmental Backup","Clarion Chain 1 - Job 04 - Web Security","294.7"
"pano-veeam02","N$\Backups","Incredmental","Clarion Chain 1 - Job 04 - Web Security","55.59"
"pano-veeam02","N$\Backups","Full Backup (Seed)","Clarion Chain 1 - Job 04 - Web Security","113.71"
"pano-veeam02","N$\Backups","Reverse-Incredmental Backup","Clarion Chain 1 - Job 12 - UK1-MAILAR1","298.92"
"pano-veeam02","N$\Backups","Incredmental Backup","Clarion Chain 1 - Job 12 - UK1-MAILAR1","71.27"
"pano-veeam02","N$\Backups","Full Backup (Seed)","Clarion Chain 1 - Job 12 - UK1-MAILAR1","2385.44"
"pano-veeam02","N$\Backups","Reverse-Incredmental Backup","Clarion Chain 1 - Job 14 - MailDB 2013","191.8"
"pano-veeam02","N$\Backups","Incredmental","Clarion Chain 1 - Job 14 - MailDB 2013","38.54"
"pano-veeam02","N$\Backups","Full Backup (Seed)","Clarion Chain 1 - Job 14 - MailDB 2013","141.76"
"pano-veeam02","N$\Backups","Reverse-Incredmental Backup","Clarion Chain 1 - Job 15 - CAS 2013","267.84"
"pano-veeam02","N$\Backups","Incredmental","Clarion Chain 1 - Job 15 - CAS 2013","51.63"
"pano-veeam02","N$\Backups","Full Backup (Seed)","Clarion Chain 1 - Job 15 - CAS 2013","119.05"
"pano-veeam02","N$\Backups","Reverse-Incredmental Backup","Clarion Chain 1 - Job 17 - RDS","207.95"
"pano-veeam02","N$\Backups","Incredmental","Clarion Chain 1 - Job 17 - RDS","65.76"
"pano-veeam02","N$\Backups","Full Backup (Seed)","Clarion Chain 1 - Job 17 - RDS","240.25"
"pano-veeam02","N$\Backups","Reverse-Incredmental Backup","Clarion Chain 1 - Job 33 - Business Apps","0.51"
"pano-veeam02","N$\Backups","Full Backup (Seed)","Clarion Chain 1 - Job 33 - Business Apps","73.02"
"pano-veeam02","N$\Backups","Reverse-Incredmental Backup","Clarion Chain 1 - Job 43 - UK1-File12_vSAN","26.16"
"pano-veeam02","N$\Backups","Full Backup (Seed)","Clarion Chain 1 - Job 43 - UK1-File12_vSAN","1747.04"
