"VeeamServer","BackupSizeGB","FolderName","Path","BackupName","BackupType"
"pano-veeam02","130.51","Claion Chain 1 - Job 01 - Domain Controlers","N$\Backups","Clarion Chain 1","Reverse-Incredmental Backup"
"pano-veeam02","25.29","Claion Chain 1 - Job 01 - Domain Controlers","N$\Backups","Clarion Chain 1","Incredmental"
"pano-veeam02","424.98","Clarion Chain 1 - Job 02 - Management","N$\Backups","Clarion Chain 1","Reverse-Incredmental Backup"
"pano-veeam02","324.68","Clarion Chain 1 - Job 02 - Management","N$\Backups","Clarion Chain 1 - Job 02 - ManagementD2020-10-24T201324.vbk","Full Backup (Seed)"
"pano-veeam02","56.65","Clarion Chain 1 - Job 02 - Management","N$\Backups","Clarion Chain 1","Incredmental"
"pano-veeam02","627.56","Clarion Chain 1 - Job 03 - LOB","N$\Backups","Clarion Chain 1 - Job 03 - LOBD2020-10-24T231946.vbk","Full Backup (Seed)"
"pano-veeam02","44.82","Clarion Chain 1 - Job 03 - LOB","N$\Backups","Clarion Chain 1","Reverse-Incredmental Backup"
"pano-veeam02","8.97","Clarion Chain 1 - Job 03 - LOB","N$\Backups","Clarion Chain 1","Incredmental"
"pano-veeam02","294.7","Clarion Chain 1 - Job 04 - Web Security","N$\Backups","Clarion Chain 1","Reverse-Incredmental Backup"
"pano-veeam02","55.59","Clarion Chain 1 - Job 04 - Web Security","N$\Backups","Clarion Chain 1","Incredmental"
"pano-veeam02","113.71","Clarion Chain 1 - Job 04 - Web Security","N$\Backups","Clarion Chain 1 - Job 04 - Web SecurityD2020-10-24T203926.vbk","Full Backup (Seed)"
"pano-veeam02","298.92","Clarion Chain 1 - Job 12 - UK1-MAILAR1","N$\Backups","UK1-MAILAR1D2020","Reverse-Incredmental Backup"
"pano-veeam02","71.27","Clarion Chain 1 - Job 12 - UK1-MAILAR1","N$\Backups","UK1-MAILAR1D2020","Incredmental Backup"
"pano-veeam02","2385.44","Clarion Chain 1 - Job 12 - UK1-MAILAR1","N$\Backups","UK1-MAILAR1D2020","Full Backup (Seed)"
"pano-veeam02","191.8","Clarion Chain 1 - Job 14 - MailDB 2013","N$\Backups","Clarion Chain 1","Reverse-Incredmental Backup"
"pano-veeam02","38.54","Clarion Chain 1 - Job 14 - MailDB 2013","N$\Backups","Clarion Chain 1","Incredmental"
"pano-veeam02","141.76","Clarion Chain 1 - Job 14 - MailDB 2013","N$\Backups","Clarion Chain 1 - Job 14 - MailDB 2013D2020-10-24T201317.vbk","Full Backup (Seed)"
"pano-veeam02","267.84","Clarion Chain 1 - Job 15 - CAS 2013","N$\Backups","Clarion Chain 1","Reverse-Incredmental Backup"
"pano-veeam02","51.63","Clarion Chain 1 - Job 15 - CAS 2013","N$\Backups","Clarion Chain 1","Incredmental"
"pano-veeam02","119.05","Clarion Chain 1 - Job 15 - CAS 2013","N$\Backups","Clarion Chain 1 - Job 15 - CAS 2013D2020-10-24T210735.vbk","Full Backup (Seed)"
"pano-veeam02","207.95","Clarion Chain 1 - Job 17 - RDS","N$\Backups","Clarion Chain 1","Reverse-Incredmental Backup"
"pano-veeam02","65.76","Clarion Chain 1 - Job 17 - RDS","N$\Backups","Clarion Chain 1","Incredmental"
"pano-veeam02","240.25","Clarion Chain 1 - Job 17 - RDS","N$\Backups","Clarion Chain 1 - Job 17 - RDSD2020-10-24T230048.vbk","Full Backup (Seed)"
"pano-veeam02","0.51","Clarion Chain 1 - Job 33 - Business Apps","N$\Backups","Clarion Chain 1","Reverse-Incredmental Backup"
"pano-veeam02","73.02","Clarion Chain 1 - Job 33 - Business Apps","N$\Backups","Clarion Chain 1 - Job 33 - Business AppsD2020-10-29T231002.vbk","Full Backup (Seed)"
"pano-veeam02","26.16","Clarion Chain 1 - Job 43 - UK1-File12_vSAN","N$\Backups","UK1-File12","Reverse-Incredmental Backup"
"pano-veeam02","1747.04","Clarion Chain 1 - Job 43 - UK1-File12_vSAN","N$\Backups","UK1-File12","Full Backup (Seed)"
