"VeeamServer","Path","FolderName","BackupName","BackupSizeGB","BackupType"
"pano-veeam02","N$\Backups","Claion Chain 1 - Job 01 - Domain Controlers","Clarion Chain 1","130.51","Reverse-Incredmental Backup"
"pano-veeam02","N$\Backups","Claion Chain 1 - Job 01 - Domain Controlers","Clarion Chain 1","25.29","Incredmental"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 02 - Management","Clarion Chain 1","424.98","Reverse-Incredmental Backup"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 02 - Management","Clarion Chain 1 - Job 02 - ManagementD2020-10-24T201324.vbk","324.68","Full Backup (Seed)"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 02 - Management","Clarion Chain 1","56.65","Incredmental"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 03 - LOB","Clarion Chain 1 - Job 03 - LOBD2020-10-24T231946.vbk","627.56","Full Backup (Seed)"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 03 - LOB","Clarion Chain 1","44.82","Reverse-Incredmental Backup"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 03 - LOB","Clarion Chain 1","8.97","Incredmental"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 04 - Web Security","Clarion Chain 1","294.7","Reverse-Incredmental Backup"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 04 - Web Security","Clarion Chain 1","55.59","Incredmental"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 04 - Web Security","Clarion Chain 1 - Job 04 - Web SecurityD2020-10-24T203926.vbk","113.71","Full Backup (Seed)"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 12 - UK1-MAILAR1","UK1-MAILAR1D2020","298.92","Reverse-Incredmental Backup"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 12 - UK1-MAILAR1","UK1-MAILAR1D2020","71.27","Incredmental Backup"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 12 - UK1-MAILAR1","UK1-MAILAR1D2020","2385.44","Full Backup (Seed)"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 14 - MailDB 2013","Clarion Chain 1","191.8","Reverse-Incredmental Backup"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 14 - MailDB 2013","Clarion Chain 1","38.54","Incredmental"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 14 - MailDB 2013","Clarion Chain 1 - Job 14 - MailDB 2013D2020-10-24T201317.vbk","141.76","Full Backup (Seed)"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 15 - CAS 2013","Clarion Chain 1","267.84","Reverse-Incredmental Backup"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 15 - CAS 2013","Clarion Chain 1","51.63","Incredmental"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 15 - CAS 2013","Clarion Chain 1 - Job 15 - CAS 2013D2020-10-24T210735.vbk","119.05","Full Backup (Seed)"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 17 - RDS","Clarion Chain 1","207.95","Reverse-Incredmental Backup"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 17 - RDS","Clarion Chain 1","65.76","Incredmental"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 17 - RDS","Clarion Chain 1 - Job 17 - RDSD2020-10-24T230048.vbk","240.25","Full Backup (Seed)"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 33 - Business Apps","Clarion Chain 1","0.51","Reverse-Incredmental Backup"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 33 - Business Apps","Clarion Chain 1 - Job 33 - Business AppsD2020-10-29T231002.vbk","73.02","Full Backup (Seed)"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 43 - UK1-File12_vSAN","UK1-File12","26.16","Reverse-Incredmental Backup"
"pano-veeam02","N$\Backups","Clarion Chain 1 - Job 43 - UK1-File12_vSAN","UK1-File12","1747.04","Full Backup (Seed)"
