"VeeamServer","Name","BackupName","Type","SizeGB"
"pano-veeam01","Clarion File Servers - UK1-FILE04-NEWD2020-09-19T170059.vbk","UK1-FILE04","Full Backup (Seed)","1943.59658336639"
"pano-veeam01","Clarion File Servers - UK1-FILE04D2020-09-28T130058.vib","UK1-FILE04D2020","Incredmental Backup","16.1208009719849"
"pano-veeam01","Clarion File Servers - UK1-FILE04D2020-09-28T170110.vib","UK1-FILE04D2020","Incredmental Backup","12.0308995246887"
"pano-veeam01","Clarion File Servers - UK1-FILE04D2020-09-28T210112.vib","UK1-FILE04D2020","Incredmental Backup","7.40846586227417"
"pano-veeam01","Clarion File Servers - UK1-FILE04D2020-09-29T090103.vib","UK1-FILE04D2020","Incredmental Backup","1.03011894226074"
"pano-veeam01","Clarion File Servers - UK1-FILE04D2020-09-29T130100.vib","UK1-FILE04D2020","Incredmental Backup","0.747781276702881"
"pano-veeam01","Clarion File Servers - UK1-FILE04D2020-09-29T170105.vib","UK1-FILE04D2020","Incredmental Backup","2.58723974227905"
"pano-veeam01","Clarion File Servers - UK1-FILE04D2020-09-29T210113.vib","UK1-FILE04D2020","Incredmental Backup","6.30081129074097"
"pano-veeam01","Clarion File Servers - UK1-FILE04D2020-09-30T090105.vib","UK1-FILE04D2020","Incredmental Backup","8.36146831512451"
"pano-veeam01","Clarion File Servers - UK1-FILE04D2020-09-30T130112.vib","UK1-FILE04D2020","Incredmental Backup","8.3495135307312"
"pano-veeam01","Clarion File Servers - UK1-FILE04D2020-09-30T170111.vib","UK1-FILE04D2020","Incredmental Backup","7.98879289627075"
"pano-veeam01","Clarion File Servers - UK1-FILE04D2020-09-30T210131.vib","UK1-FILE04D2020","Incredmental Backup","0.334098815917969"
"pano-veeam01","Clarion File Servers - UK1-FILE04D2020-10-01T090102.vib","UK1-FILE04D2020","Incredmental Backup","0.789519786834717"
"pano-veeam01","Clarion File Servers - UK1-FILE04D2020-10-01T130048.vib","UK1-FILE04D2020","Incredmental Backup","0.67960262298584"
"pano-veeam01","Clarion File Servers - UK1-FILE04D2020-10-01T170113.vib","UK1-FILE04D2020","Incredmental Backup","25.0214929580688"
"pano-veeam01","Clarion File Servers - UK1-FILE04D2020-10-01T210126.vib","UK1-FILE04D2020","Incredmental Backup","24.9890241622925"
"pano-veeam01","Clarion File Servers - UK1-FILE04D2020-10-02T090104.vib","UK1-FILE04D2020","Incredmental Backup","0.67082405090332"
"pano-veeam01","Clarion File Servers - UK1-FILE04D2020-10-02T130059.vib","UK1-FILE04D2020","Incredmental Backup","0.717774391174316"
"pano-veeam01","Clarion File Servers - UK1-FILE04D2020-10-02T170102.vib","UK1-FILE04D2020","Incredmental Backup","2.47196245193481"
"pano-veeam01","Clarion File Servers - UK1-FILE04D2020-10-02T210110.vib","UK1-FILE04D2020","Incredmental Backup","2.26750802993774"
"pano-veeam01","Clarion File Servers - UK1-FILE04D2020-10-03T090110.vib","UK1-FILE04D2020","Incredmental Backup","48.7747292518616"
"pano-veeam01","Clarion File Servers - UK1-FILE04D2020-10-03T130112.vib","UK1-FILE04D2020","Incredmental Backup","45.2318005561829"
"pano-veeam01","Clarion File Servers - UK1-FILE04D2020-10-03T170103.vib","UK1-FILE04D2020","Incredmental Backup","0.678061962127686"
"pano-veeam01","Clarion File Servers - UK1-FILE04D2020-10-03T210128.vib","UK1-FILE04D2020","Incredmental Backup","2.75577783584595"
"pano-veeam01","Clarion File Servers - UK1-FILE04D2020-10-04T090113.vib","UK1-FILE04D2020","Incredmental Backup","0.753730297088623"
"pano-veeam01","Clarion File Servers - UK1-FILE04D2020-10-04T130053.vib","UK1-FILE04D2020","Incredmental Backup","7.8498330116272"
"pano-veeam01","Clarion File Servers - UK1-FILE04D2020-10-04T170054.vib","UK1-FILE04D2020","Incredmental Backup","6.11754751205444"
"pano-veeam01","Clarion File Servers - UK1-FILE04D2020-10-04T210110.vib","UK1-FILE04D2020","Incredmental Backup","3.04614639282227"
"pano-veeam01","Clarion File Servers - UK1-FILE04D2020-10-05T090054.vib","UK1-FILE04D2020","Incredmental Backup","1.77376079559326"
"pano-veeam01","Clarion File Servers - UK1-FILE04D2020-10-05T130109.vib","UK1-FILE04D2020","Incredmental Backup","27.4119744300842"
"pano-veeam01","Clarion File Servers - UK1-FILE04D2020-10-05T170057.vib","UK1-FILE04D2020","Incredmental Backup","9.3091835975647"
"pano-veeam01","Clarion File Servers - UK1-FILE04D2020-10-05T210121.vib","UK1-FILE04D2020","Incredmental Backup","40.484564781189"
"pano-veeam01","Clarion File Servers - UK1-FILE04D2020-10-06T090108.vib","UK1-FILE04D2020","Incredmental Backup","0.934866428375244"
